S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore
471,Rupa & Co,34609100000.0,2779600000.0
472,Hind.Construct.,34525700000.0,
473,Ent.Network,33809899999.999996,1484199999.9999998
474,Supreme Petroch.,33775700000.0,7250200000.0
475,MAS FINANC SER,33762000000.0,1120500000.0
476,Thyrocare Tech.,33743800000.0,778400000.0
477,Prakash Inds.,33360500000.0,7259700000.0
478,Repco Home Fin,33310800000.0,2774800000.0
479,Sonata Software,33295800000.0,7667500000.0
480,Central Dep. Ser,33163100000.0,472400000.0
481,Puravankara,32749000000.0,4400900000.0
482,Tejas Networks,32098900000.0,2298700000.0
483,ITD Cem,31926700000.0,4729800000.0
484,Hathway Cable,31891000000.0,1386500000.0
485,Dhanuka Agritech,31886200000.0,2215100000.0
486,Mahindra Logis.,31875100000.000004,8350599999.999999
487,Heritage Foods,31854500000.0,5817400000.0
488,Mah. Seamless,31647300000.0,5636600000.0
489,Navneet Educat.,31483600000.0,1744100000.0
490,Firstsour.Solu.,31399400000.0,8872400000.0
491,Kaveri Seed Co.,31258300000.0,706400000.0
492,Star Ferro Cem.,31159800000.0,3934900000.0
493,Deepak Fert.,30790600000.0,16449200000.0
494,Va Tech Wabag,30419300000.0,4608900000.0
495,Prime Focus,30315000000.0,6096100000.0
496,Lak. Vilas Bank,30295700000.0,7901700000.0
497,NOCIL,30262600000.000004,2492700000.0
498,Orient Cement,30243200000.0,5115300000.0
499,Natl.Fertilizer,30170700000.0,28407500000.0
